"managerName","productCode","productName"
"中信信诚资产管理有限公司","0M02SX","中信信诚-国泰君安-中信信诚-信泰1号专项资产管理计划"
"中信信诚资产管理有限公司","0M02TM","中信信诚-国泰君安-中信信诚-信泰2号专项资产管理计划"
"中信信诚资产管理有限公司","0M02TS","中信信诚君越4号专项资产管理计划"
"中信信诚资产管理有限公司","0M02TT","中信信诚君越5号专项资产管理计划"
"中信信诚资产管理有限公司","0M02TU","中信信诚君越6号专项资产管理计划"
"中信信诚资产管理有限公司","0M02TV","中信信诚君越7号专项资产管理计划"
"中信信诚资产管理有限公司","0M02TW","中信信诚君越8号专项资产管理计划"
"中信信诚资产管理有限公司","0M02TX","中信信诚君越9号专项资产管理计划"
"中信信诚资产管理有限公司","0M02TY","中信信诚君越10号专项资产管理计划"
"中信信诚资产管理有限公司","0M02TZ","中信信诚君越11号专项资产管理计划"
"中信信诚资产管理有限公司","0M02U0","中信信诚君越12号专项资产管理计划"
"中信信诚资产管理有限公司","0M02U1","中信信诚君越13号专项资产管理计划"
"中信信诚资产管理有限公司","0M02U2","中信信诚君越14号专项资产管理计划"
"中信信诚资产管理有限公司","0M02U3","中信信诚君越15号专项资产管理计划"
"中信信诚资产管理有限公司","0M02U4","中信信诚君越16号专项资产管理计划"
"中信信诚资产管理有限公司","0M02U5","中信信诚君越17号专项资产管理计划"
"中信信诚资产管理有限公司","0M02U6","中信信诚君越18号专项资产管理计划"
"中信信诚资产管理有限公司","0M02U7","中信信诚君越19号专项资产管理计划"
"中信信诚资产管理有限公司","0M02U8","中信信诚君越20号专项资产管理计划"
"中信信诚资产管理有限公司","0M02U9","中信信诚君越21号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UA","中信信诚君越22号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UB","中信信诚君越23号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UC","中信信诚君越24号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UD","中信信诚君越25号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UE","中信信诚君越26号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UF","中信信诚君越27号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UG","中信信诚君越28号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UH","中信信诚君越29号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UI","中信信诚君越30号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UJ","中信信诚君越31号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UK","中信信诚君越32号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UL","中信信诚君越33号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UM","中信信诚君越34号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UN","中信信诚君越35号专项资产管理计划"
"中信信诚资产管理有限公司","0M02UO","中信信诚君越36号专项资产管理计划"
"中信信诚资产管理有限公司","0M02V5","中信信诚君越3号专项资产管理计划"
