datePart,prodNamePart,prodCode,prodName,managerName,sourceDir,targetDir
20190115,【敦和八卦田积极1号私募基金（FOF）】20191231开放估值材料,ST5354,敦和八卦田积极1号私募基金（FOF）,敦和资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20190115\【敦和八卦田积极1号私募基金（FOF）】20191231开放估值材料,Z:\19_外包估值（新）\敦和资产管理有限公司\ST5354_敦和八卦田积极1号私募基金（FOF）
20200102,【【洛书融智乾兴私募证券投资基】20191231开放估值材料,SEF497,洛书融智乾兴私募证券投资基金,上海洛书投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【【洛书融智乾兴私募证券投资基】20191231开放估值材料,Z:\19_外包估值（新）\上海洛书投资管理有限公司\SEF497_洛书融智乾兴私募证券投资基金
20200102,【艾方多策略灵活对冲15号1期私募投资基金】20191231开放估值材料,SR6257,艾方多策略灵活对冲15号1期私募证券投资基金,上海艾方资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【艾方多策略灵活对冲15号1期私募投资基金】20191231开放估值材料,Z:\19_外包估值（新）\上海艾方资产管理有限公司\SR6257_艾方多策略灵活对冲15号1期私募证券投资基金
20200102,【白鹭桃花岛500指数增强一号私募证券投资基金】20191231开放估值材料,SEW882,白鹭桃花岛500指数增强一号私募证券投资基金,浙江白鹭资产管理股份有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【白鹭桃花岛500指数增强一号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\浙江白鹭资产管理股份有限公司\SEW882_白鹭桃花岛500指数增强一号私募证券投资基金
20200102,【泊通精选定制私募基金】20200102开放估值材料,SR3672,泊通精选定制私募基金,上海泊通投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【泊通精选定制私募基金】20200102开放估值材料,Z:\19_外包估值（新）\上海泊通投资管理有限公司\SR3672_泊通精选定制私募基金
20200102,【东方点赞证券投资基金】20191231开放估值材料,S39211,东方点赞证券投资基金,上海于翼资产管理合伙企业（有限合伙）,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【东方点赞证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\上海于翼资产管理合伙企业（有限合伙）\S39211_东方点赞证券投资基金
20200102,【东方港湾家树启富证券私募投资基金】20191231开放估值材料,SEV588,东方港湾家树启富证券私募投资基金,深圳东方港湾投资管理股份有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【东方港湾家树启富证券私募投资基金】20191231开放估值材料,Z:\19_外包估值（新）\深圳东方港湾投资管理股份有限公司\SEV588_东方港湾家树启富证券私募投资基金
20200102,【冬泉谷量化CTA-紫晔私募投资基金】20191231开放估值材料,SR6066,冬泉谷量化CTA-紫晔私募投资基金,陕西冬泉谷投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【冬泉谷量化CTA-紫晔私募投资基金】20191231开放估值材料,Z:\19_外包估值（新）\陕西冬泉谷投资管理有限公司\SR6066_冬泉谷量化CTA-紫晔私募投资基金
20200102,【敦和永好1号私募证券投资基金】20191231开放估值材料,SGD272,敦和永好1号私募证券投资基金,敦和资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【敦和永好1号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\敦和资产管理有限公司\SGD272_敦和永好1号私募证券投资基金
20200102,【艮岳千寻2号私募证券投资基金】20191231开放估值材料,SGA805,艮岳千寻2号私募证券投资基金,杭州艮岳投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【艮岳千寻2号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\杭州艮岳投资管理有限公司\SGA805_艮岳千寻2号私募证券投资基金
20200102,【艮岳山南宏观对冲1号私募证券投资基金】20191231开放估值材料,SEV078,艮岳山南宏观对冲1号私募证券投资基金,杭州艮岳投资管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【艮岳山南宏观对冲1号私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\杭州艮岳投资管理有限公司\SEV078_艮岳山南宏观对冲1号私募证券投资基金
20200102,【国杰火石私募证券投资基金】20191231开放估值材料.pdf,SEX544,国杰火石私募证券投资基金,广州国杰资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【国杰火石私募证券投资基金】20191231开放估值材料.pdf,Z:\19_外包估值（新）\广州国杰资产管理有限公司\SEX544_国杰火石私募证券投资基金
20200102,【国杰金石私募证券投资基金】20191231开放估值材料,SEX550,国杰金石私募证券投资基金,广州国杰资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【国杰金石私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\广州国杰资产管理有限公司\SEX550_国杰金石私募证券投资基金
20200102,【国杰雷石私募证券投资基金】20191231开放估值材料,SGC213,国杰雷石私募证券投资基金,广州国杰资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【国杰雷石私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\广州国杰资产管理有限公司\SGC213_国杰雷石私募证券投资基金
20200102,【国杰绿石私募证券投资基金】20191231开放估值材料.pdf,SGD824,国杰绿石私募证券投资基金,广州国杰资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【国杰绿石私募证券投资基金】20191231开放估值材料.pdf,Z:\19_外包估值（新）\广州国杰资产管理有限公司\SGD824_国杰绿石私募证券投资基金
20200102,【国杰色石私募证券投资基金】20191231开放估值材料,SGC070,国杰色石私募证券投资基金,广州国杰资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【国杰色石私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\广州国杰资产管理有限公司\SGC070_国杰色石私募证券投资基金
20200102,【国杰土石私募证券投资基金】20191231开放估值材料,SEZ106,国杰土石私募证券投资基金,广州国杰资产管理有限公司,Z:\10_外包估值\外包估值开放小组\开放材料\TA开放估值依据-2020\20200102\【国杰土石私募证券投资基金】20191231开放估值材料,Z:\19_外包估值（新）\广州国杰资产管理有限公司\SEZ106_国杰土石私募证券投资基金
